Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
SpMV,Specialized,512,1,1588434674,1,COO
SpMV,SparseRAJA,512,1,2626487928,1,COO
SpMV,Specialized,512,0.9,1424645793,1,COO
SpMV,SparseRAJA,512,0.9,2355279833,1,COO
SpMV,Specialized,512,0.8,1286815358,1,COO
SpMV,SparseRAJA,512,0.8,1794721081,1,COO
SpMV,Specialized,512,0.7,1067560814,1,COO
SpMV,SparseRAJA,512,0.7,1827982602,1,COO
SpMV,Specialized,512,0.6,913714563,1,COO
SpMV,SparseRAJA,512,0.6,1351966027,1,COO
SpMV,Specialized,512,0.5,916087398,1,COO
SpMV,SparseRAJA,512,0.5,1127462919,1,COO
SpMV,Specialized,512,0.6,1012052166,1,COO
SpMV,SparseRAJA,512,0.6,1351648431,1,COO
SpMV,Specialized,512,0.7,1110968923,1,COO
SpMV,SparseRAJA,512,0.7,1827889484,1,COO
SpMV,Specialized,512,0.8,1283539907,1,COO
SpMV,SparseRAJA,512,0.8,1794790152,1,COO
SpMV,Specialized,512,0.4,603009882,1,COO
SpMV,SparseRAJA,512,0.4,1044914902,1,COO
SpMV,Specialized,512,0.9,1445036128,1,COO
SpMV,SparseRAJA,512,0.9,2355973425,1,COO
SpMV,Specialized,512,0.5,907881883,1,COO
SpMV,SparseRAJA,512,0.5,1129649887,1,COO
SpMV,Specialized,512,1,1608698293,1,COO
SpMV,SparseRAJA,512,1,2626087855,1,COO
SpMV,Specialized,512,0.6,968348603,1,COO
SpMV,SparseRAJA,512,0.6,1352393271,1,COO
SpMV,Specialized,512,0.4,687969989,1,COO
SpMV,SparseRAJA,512,0.4,1044827624,1,COO
SpMV,Specialized,512,0.05,60168339,1,COO
SpMV,SparseRAJA,512,0.05,138191811,1,COO
SpMV,Specialized,512,0.1,137851405,1,COO
SpMV,SparseRAJA,512,0.1,238105125,1,COO
SpMV,Specialized,512,0.05,60173454,1,COO
SpMV,SparseRAJA,512,0.05,138221546,1,COO
SpMV,Specialized,512,0.5,896869851,1,COO
SpMV,SparseRAJA,512,0.5,1127454691,1,COO
SpMV,Specialized,512,0.7,1067598747,1,COO
SpMV,SparseRAJA,512,0.7,1828120579,1,COO
SpMV,Specialized,512,0.05,60171423,1,COO
SpMV,SparseRAJA,512,0.05,138284610,1,COO
SpMV,Specialized,512,0.1,137853155,1,COO
SpMV,SparseRAJA,512,0.1,238097250,1,COO
SpMV,Specialized,512,0.05,60160207,1,COO
SpMV,SparseRAJA,512,0.05,138414389,1,COO
SpMV,Specialized,512,0.075,99368660,1,COO
SpMV,SparseRAJA,512,0.075,207070642,1,COO
SpMV,Specialized,512,0.3,448115189,1,COO
SpMV,SparseRAJA,512,0.3,685156931,1,COO
SpMV,Specialized,512,0.05,60165855,1,COO
SpMV,SparseRAJA,512,0.05,138204663,1,COO
SpMV,Specialized,512,0.1,137895711,1,COO
SpMV,SparseRAJA,512,0.1,238119987,1,COO
SpMV,Specialized,512,0.8,1372945600,1,COO
SpMV,SparseRAJA,512,0.8,1794575244,1,COO
SpMV,Specialized,512,0.075,99361518,1,COO
SpMV,SparseRAJA,512,0.075,206998259,1,COO
SpMV,Specialized,512,0.1,137857318,1,COO
SpMV,SparseRAJA,512,0.1,238099871,1,COO
SpMV,Specialized,512,0.075,99426968,1,COO
SpMV,SparseRAJA,512,0.075,207059193,1,COO
SpMV,Specialized,512,0.075,99384333,1,COO
SpMV,SparseRAJA,512,0.075,207020221,1,COO
SpMV,Specialized,512,0.4,603876995,1,COO
SpMV,SparseRAJA,512,0.4,1044738316,1,COO
SpMV,Specialized,512,0.1,180578544,1,COO
SpMV,SparseRAJA,512,0.1,238126309,1,COO
SpMV,Specialized,512,0.075,99362282,1,COO
SpMV,SparseRAJA,512,0.075,207131479,1,COO
SpMV,Specialized,512,0.3,448175345,1,COO
SpMV,SparseRAJA,512,0.3,685280515,1,COO
SpMV,Specialized,512,0.6,914219236,1,COO
SpMV,SparseRAJA,512,0.6,1352047036,1,COO
SpMV,Specialized,512,0.025,23642123,1,COO
SpMV,SparseRAJA,512,0.025,71505037,1,COO
SpMV,Specialized,512,0.9,1538869899,1,COO
SpMV,SparseRAJA,512,0.9,2355239544,1,COO
SpMV,Specialized,512,0.01,7208700,1,COO
SpMV,SparseRAJA,512,0.01,38585662,1,COO
SpMV,Specialized,512,0.01,7191981,1,COO
SpMV,SparseRAJA,512,0.01,38556497,1,COO
SpMV,Specialized,512,0.025,23665999,1,COO
SpMV,SparseRAJA,512,0.025,71657096,1,COO
SpMV,Specialized,512,0.01,7192236,1,COO
SpMV,SparseRAJA,512,0.01,38585121,1,COO
SpMV,Specialized,512,0.01,7192972,1,COO
SpMV,SparseRAJA,512,0.01,38584853,1,COO
SpMV,Specialized,512,0.025,23633243,1,COO
SpMV,SparseRAJA,512,0.025,71465007,1,COO
SpMV,Specialized,512,0.01,7191185,1,COO
SpMV,SparseRAJA,512,0.01,38502813,1,COO
SpMV,Specialized,512,0.025,23631661,1,COO
SpMV,SparseRAJA,512,0.025,71439659,1,COO
SpMV,Specialized,512,0.5,839969746,1,COO
SpMV,SparseRAJA,512,0.5,1127314113,1,COO
SpMV,Specialized,512,0.025,23654234,1,COO
SpMV,SparseRAJA,512,0.025,71450027,1,COO
SpMV,Specialized,512,1,1674731075,1,COO
SpMV,SparseRAJA,512,1,2626334494,1,COO
SpMV,Specialized,512,0.3,506712610,1,COO
SpMV,SparseRAJA,512,0.3,685225764,1,COO
SpMV,Specialized,512,0.4,602924033,1,COO
SpMV,SparseRAJA,512,0.4,1044798953,1,COO
SpMV,Specialized,512,0.7,1268546930,1,COO
SpMV,SparseRAJA,512,0.7,1828035406,1,COO
SpMV,Specialized,512,0.8,1383665670,1,COO
SpMV,SparseRAJA,512,0.8,1794659968,1,COO
SpMV,Specialized,512,0.3,537105581,1,COO
SpMV,SparseRAJA,512,0.3,685282839,1,COO
SpMV,Specialized,512,0.5,757811619,1,COO
SpMV,SparseRAJA,512,0.5,1127365151,1,COO
SpMV,Specialized,512,0.6,1002341802,1,COO
SpMV,SparseRAJA,512,0.6,1351922829,1,COO
SpMV,Specialized,512,0.4,603565080,1,COO
SpMV,SparseRAJA,512,0.4,1044770942,1,COO
SpMV,Specialized,512,0.3,490619374,1,COO
SpMV,SparseRAJA,512,0.3,685178626,1,COO
GauSei,Specialized,512,0.01,1484134359,0.011696,COO
GauSei,SparseRAJA,512,0.01,3373815329,0.633397,COO
GauSei,Specialized,512,0.01,444470441,0.00974663,CSR
GauSei,SparseRAJA,512,0.01,966872679,0.636218,CSR
GauSei,Specialized,512,0.01,17516942,1,DIAG
GauSei,SparseRAJA,512,0.01,56063503,1,DIAG
SpMV,Specialized,512,0.9,1499004442,1,COO
SpMV,SparseRAJA,512,0.9,2355793538,1,COO
SpMV,Specialized,512,0.7,1140518328,1,COO
SpMV,SparseRAJA,512,0.7,1828117135,1,COO
SpMV,Specialized,512,1,1533139192,1,COO
SpMV,SparseRAJA,512,1,2626216089,1,COO
SpMV,Specialized,512,0.8,1283144325,1,COO
SpMV,SparseRAJA,512,0.8,1794452182,1,COO
GauSei,Specialized,512,0.025,3111766165,0.00194933,COO
GauSei,SparseRAJA,512,0.025,8302330964,0.806493,COO
GauSei,Specialized,512,0.025,905944206,0.00194933,CSR
GauSei,SparseRAJA,512,0.025,2322813220,0.807654,CSR
GauSei,Specialized,512,0.025,38012488,1,DIAG
