Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,512,0.01,18631296,1,1
GauSei,SparseRAJA,512,0.01,75638275,1,1
GauSei,Specialized,512,0.01,18631667,1,1
GauSei,SparseRAJA,512,0.01,75967017,1,1
GauSei,Specialized,512,0.01,18595606,1,1
GauSei,SparseRAJA,512,0.01,76026992,1,1
GauSei,Specialized,512,0.01,18588678,1,1
GauSei,SparseRAJA,512,0.01,76452106,1,1
GauSei,Specialized,512,0.01,18645239,1,1
GauSei,SparseRAJA,512,0.01,75682582,1,1
SpMV,Specialized,512,0.01,7136597,1,0
SpMV,SparseRAJA,512,0.01,40550649,1,0
SpMV,Specialized,512,0.01,7138665,1,0
SpMV,SparseRAJA,512,0.01,46997644,1,0
SpMV,Specialized,512,0.01,7138318,1,0
SpMV,SparseRAJA,512,0.01,40299806,1,0
SpMV,Specialized,512,0.01,7136320,1,0
SpMV,SparseRAJA,512,0.01,39312704,1,0
SpMV,Specialized,512,0.01,7151903,1,0
SpMV,SparseRAJA,512,0.01,38647465,1,0
GauSei,Specialized,512,0.02,30890799,1,1
GauSei,SparseRAJA,512,0.02,87869450,1,1
GauSei,Specialized,512,0.02,30940473,1,1
GauSei,SparseRAJA,512,0.02,90395936,1,1
GauSei,Specialized,512,0.02,31631146,1,1
GauSei,SparseRAJA,512,0.02,87417555,1,1
GauSei,Specialized,512,0.02,30845313,1,1
GauSei,SparseRAJA,512,0.02,88133417,1,1
GauSei,Specialized,512,0.02,30944375,1,1
GauSei,SparseRAJA,512,0.02,87404807,1,1
SpMV,Specialized,512,0.02,18062393,1,0
SpMV,SparseRAJA,512,0.02,62621485,1,0
SpMV,Specialized,512,0.02,18046148,1,0
SpMV,SparseRAJA,512,0.02,62707100,1,0
SpMV,Specialized,512,0.02,17071777,1,0
SpMV,SparseRAJA,512,0.02,62373450,1,0
SpMV,Specialized,512,0.02,17069264,1,0
SpMV,SparseRAJA,512,0.02,68534531,1,0
SpMV,Specialized,512,0.02,17068615,1,0
SpMV,SparseRAJA,512,0.02,60648196,1,0
GauSei,Specialized,512,0.03,44650883,1,1
GauSei,SparseRAJA,512,0.03,113728530,1,1
GauSei,Specialized,512,0.03,44647011,1,1
GauSei,SparseRAJA,512,0.03,120727512,1,1
GauSei,Specialized,512,0.03,44696109,1,1
GauSei,SparseRAJA,512,0.03,114773855,1,1
GauSei,Specialized,512,0.03,44656882,1,1
GauSei,SparseRAJA,512,0.03,114176820,1,1
GauSei,Specialized,512,0.03,44695412,1,1
GauSei,SparseRAJA,512,0.03,120334558,1,1
SpMV,Specialized,512,0.03,29712166,1,0
SpMV,SparseRAJA,512,0.03,85418939,1,0
SpMV,Specialized,512,0.03,29727769,1,0
SpMV,SparseRAJA,512,0.03,85794417,1,0
SpMV,Specialized,512,0.03,29709653,1,0
SpMV,SparseRAJA,512,0.03,85672802,1,0
SpMV,Specialized,512,0.03,29728896,1,0
SpMV,SparseRAJA,512,0.03,85383641,1,0
SpMV,Specialized,512,0.03,29705487,1,0
SpMV,SparseRAJA,512,0.03,85313223,1,0
