Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
SpMV,Specialized,1024,0.02,45235845,1,COO
SpMV,SparseRAJA,1024,0.02,171870709,1,COO
SpMV,Specialized,1024,0.03,71463126,1,COO
SpMV,SparseRAJA,1024,0.03,250930533,1,COO
SpMV,Specialized,1024,0.02,47250130,1,COO
SpMV,SparseRAJA,1024,0.02,174498899,1,COO
SpMV,Specialized,1024,0.05,128888060,1,COO
SpMV,SparseRAJA,1024,0.05,412499344,1,COO
SpMV,Specialized,1024,0.02,44854393,1,COO
SpMV,SparseRAJA,1024,0.02,170879146,1,COO
SpMV,Specialized,1024,0.03,74976276,1,COO
SpMV,SparseRAJA,1024,0.03,254947881,1,COO
SpMV,Specialized,1024,0.06,157951464,1,COO
SpMV,SparseRAJA,1024,0.06,493938452,1,COO
SpMV,Specialized,1024,0.02,47288305,1,COO
SpMV,SparseRAJA,1024,0.02,174384275,1,COO
SpMV,Specialized,1024,0.03,71155192,1,COO
SpMV,SparseRAJA,1024,0.03,252330235,1,COO
SpMV,Specialized,1024,0.05,133049239,1,COO
SpMV,SparseRAJA,1024,0.05,419266882,1,COO
SpMV,Specialized,1024,0.02,47198389,1,COO
SpMV,SparseRAJA,1024,0.02,174136616,1,COO
SpMV,Specialized,1024,0.03,73407479,1,COO
SpMV,SparseRAJA,1024,0.03,250467649,1,COO
SpMV,Specialized,1024,0.06,157806022,1,COO
SpMV,SparseRAJA,1024,0.06,492502065,1,COO
SpMV,Specialized,1024,0.05,132866165,1,COO
SpMV,SparseRAJA,1024,0.05,418634391,1,COO
SpMV,Specialized,1024,0.03,75300125,1,COO
SpMV,SparseRAJA,1024,0.03,255715755,1,COO
SpMV,Specialized,1024,0.06,161873335,1,COO
SpMV,SparseRAJA,1024,0.06,502001082,1,COO
SpMV,Specialized,1024,0.05,128508292,1,COO
SpMV,SparseRAJA,1024,0.05,412604507,1,COO
SpMV,Specialized,1024,0.06,161585443,1,COO
SpMV,SparseRAJA,1024,0.06,502458737,1,COO
SpMV,Specialized,1024,0.05,133691403,1,COO
SpMV,SparseRAJA,1024,0.05,412542575,1,COO
SpMV,Specialized,1024,0.06,157896129,1,COO
SpMV,SparseRAJA,1024,0.06,493585452,1,COO
GauSei,Specialized,1024,0.01,15189897395,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,43523846930,0.767913,COO
GauSei,Specialized,1024,0.01,4046694749,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10910573965,0.769927,CSR
GauSei,Specialized,1024,0.01,80459703,1,DIAG
GauSei,SparseRAJA,1024,0.01,151502746,0.999913,DIAG
SpMV,Specialized,1024,0.001,2016387,1,COO
SpMV,SparseRAJA,1024,0.001,20518628,1,COO
SpMV,Specialized,1024,0.001,1826840,1,COO
SpMV,SparseRAJA,1024,0.001,21776308,1,COO
SpMV,Specialized,1024,0.01,20891061,1,COO
SpMV,SparseRAJA,1024,0.01,92033358,1,COO
SpMV,Specialized,1024,0.001,2024781,1,COO
SpMV,SparseRAJA,1024,0.001,22165998,1,COO
SpMV,Specialized,1024,0.001,1867394,1,COO
SpMV,SparseRAJA,1024,0.001,22156240,1,COO
SpMV,Specialized,1024,0.001,2061995,1,COO
SpMV,SparseRAJA,1024,0.001,22142417,1,COO
SpMV,Specialized,1024,0.002,3953460,1,COO
SpMV,SparseRAJA,1024,0.002,28630454,1,COO
SpMV,Specialized,1024,0.01,20703273,1,COO
SpMV,SparseRAJA,1024,0.01,91091599,1,COO
SpMV,Specialized,1024,0.01,21553041,1,COO
SpMV,SparseRAJA,1024,0.01,92077969,1,COO
SpMV,Specialized,1024,0.002,3978225,1,COO
SpMV,SparseRAJA,1024,0.002,29621927,1,COO
SpMV,Specialized,1024,0.01,22745601,1,COO
SpMV,SparseRAJA,1024,0.01,92693329,1,COO
SpMV,Specialized,1024,0.09,244681721,1,COO
SpMV,SparseRAJA,1024,0.09,731465776,1,COO
SpMV,Specialized,1024,0.01,22066574,1,COO
SpMV,SparseRAJA,1024,0.01,92228491,1,COO
SpMV,Specialized,1024,0.002,4152275,1,COO
SpMV,SparseRAJA,1024,0.002,29187845,1,COO
SpMV,Specialized,1024,0.01,22996320,1,COO
SpMV,SparseRAJA,1024,0.01,93435002,1,COO
SpMV,Specialized,1024,0.09,246753865,1,COO
SpMV,SparseRAJA,1024,0.09,735914144,1,COO
SpMV,Specialized,1024,0.01,23555399,1,COO
SpMV,SparseRAJA,1024,0.01,93610921,1,COO
SpMV,Specialized,1024,0.002,4251223,1,COO
