Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,512,0.01,24369993,1,1
GauSei,SparseRAJA,512,0.01,39383889,1,1
GauSei,Specialized,512,0.01,25719005,1,1
GauSei,SparseRAJA,512,0.01,39473430,1,1
GauSei,Specialized,512,0.01,25663225,1,1
GauSei,SparseRAJA,512,0.01,39256447,1,1
GauSei,Specialized,512,0.01,25122675,1,1
GauSei,SparseRAJA,512,0.01,39084261,1,1
GauSei,Specialized,512,0.01,25639588,1,1
GauSei,SparseRAJA,512,0.01,39315904,1,1
SpMV,Specialized,512,0.01,5501368,1,0
SpMV,SparseRAJA,512,0.01,30463071,1,0
SpMV,Specialized,512,0.01,5441617,1,0
SpMV,SparseRAJA,512,0.01,29947781,1,0
SpMV,Specialized,512,0.01,5369068,1,0
SpMV,SparseRAJA,512,0.01,29907311,1,0
SpMV,Specialized,512,0.01,5302500,1,0
SpMV,SparseRAJA,512,0.01,30715277,1,0
SpMV,Specialized,512,0.01,5279676,1,0
SpMV,SparseRAJA,512,0.01,30486929,1,0
GauSei,Specialized,512,0.02,41294009,1,1
GauSei,SparseRAJA,512,0.02,62400681,1,1
GauSei,Specialized,512,0.02,40435404,1,1
GauSei,SparseRAJA,512,0.02,61806354,1,1
GauSei,Specialized,512,0.02,40562394,1,1
GauSei,SparseRAJA,512,0.02,61777132,1,1
GauSei,Specialized,512,0.02,40951687,1,1
GauSei,SparseRAJA,512,0.02,61721031,1,1
GauSei,Specialized,512,0.02,40244454,1,1
GauSei,SparseRAJA,512,0.02,61815123,1,1
SpMV,Specialized,512,0.02,11511617,1,0
SpMV,SparseRAJA,512,0.02,50705792,1,0
SpMV,Specialized,512,0.02,11798746,1,0
SpMV,SparseRAJA,512,0.02,50565855,1,0
SpMV,Specialized,512,0.02,10894582,1,0
SpMV,SparseRAJA,512,0.02,50367991,1,0
SpMV,Specialized,512,0.02,11019645,1,0
SpMV,SparseRAJA,512,0.02,50715273,1,0
SpMV,Specialized,512,0.02,11420465,1,0
SpMV,SparseRAJA,512,0.02,50468181,1,0
GauSei,Specialized,512,0.03,56330302,1,1
GauSei,SparseRAJA,512,0.03,85365691,1,1
GauSei,Specialized,512,0.03,55041545,1,1
GauSei,SparseRAJA,512,0.03,85097233,1,1
GauSei,Specialized,512,0.03,55104349,1,1
GauSei,SparseRAJA,512,0.03,85193112,1,1
GauSei,Specialized,512,0.03,55272648,1,1
GauSei,SparseRAJA,512,0.03,85361149,1,1
GauSei,Specialized,512,0.03,53617972,1,1
GauSei,SparseRAJA,512,0.03,83818782,1,1
SpMV,Specialized,512,0.03,18431834,1,0
SpMV,SparseRAJA,512,0.03,74261706,1,0
SpMV,Specialized,512,0.03,17709243,1,0
SpMV,SparseRAJA,512,0.03,71543557,1,0
SpMV,Specialized,512,0.03,18297419,1,0
SpMV,SparseRAJA,512,0.03,71191027,1,0
SpMV,Specialized,512,0.03,17621489,1,0
SpMV,SparseRAJA,512,0.03,70929447,1,0
SpMV,Specialized,512,0.03,18102652,1,0
SpMV,SparseRAJA,512,0.03,71412126,1,0
