Benchmark, Variant, Size, Density, Time, Hit Rate
SpMV,Specialized,256,1,378986188,1.0
SpMV,SparseRAJA,256,1,739547284,1
SpMV,Specialized,256,1,449410825,1.0
SpMV,SparseRAJA,256,1,739704415,1
SpMV,Specialized,256,1,379946515,1.0
SpMV,SparseRAJA,256,1,739483633,1
SpMV,Specialized,256,1,379551407,1.0
SpMV,SparseRAJA,256,1,739735507,1
SpMV,Specialized,256,1,379623647,1.0
SpMV,SparseRAJA,256,1,739714871,1
GauSei,Specialized,256,1,14392266436,1.0
GauSei,SparseRAJA,256,1,815692844,1
SpMV,Specialized,256,0.9,340382597,1.0
SpMV,SparseRAJA,256,0.9,692696670,1
SpMV,Specialized,256,0.8,302126052,1.0
SpMV,SparseRAJA,256,0.8,597218273,1
SpMV,Specialized,256,0.9,383499840,1.0
SpMV,SparseRAJA,256,0.9,692695016,1
SpMV,Specialized,256,0.8,301629858,1.0
SpMV,SparseRAJA,256,0.8,597251602,1
SpMV,Specialized,256,0.9,340309595,1.0
SpMV,SparseRAJA,256,0.9,692750966,1
SpMV,Specialized,256,0.8,343405168,1.0
SpMV,SparseRAJA,256,0.8,597278335,1
SpMV,Specialized,256,0.8,301571131,1.0
SpMV,SparseRAJA,256,0.8,597241372,1
SpMV,Specialized,256,0.9,340367690,1.0
SpMV,SparseRAJA,256,0.9,692835100,1
SpMV,Specialized,256,0.8,371676354,1.0
SpMV,SparseRAJA,256,0.8,597304194,1
SpMV,Specialized,256,0.9,378416683,1.0
SpMV,SparseRAJA,256,0.9,692737985,1
GauSei,Specialized,256,1,14401666107,1.0
GauSei,SparseRAJA,256,1,815968873,1
GauSei,Specialized,256,0.8,11574271705,1.0
GauSei,SparseRAJA,256,0.8,657351284,1
GauSei,Specialized,256,0.9,13026745506,1.0
GauSei,SparseRAJA,256,0.9,733657982,1
GauSei,Specialized,256,0.7,10211088728,1.0
GauSei,SparseRAJA,256,0.7,578792034,1
GauSei,Specialized,256,0.8,11577211445,1.0
GauSei,SparseRAJA,256,0.8,657460580,1
GauSei,Specialized,256,1,14391992060,1.0
GauSei,SparseRAJA,256,1,824425916,1
GauSei,Specialized,256,0.9,13027039179,1.0
GauSei,SparseRAJA,256,0.9,733512188,1
SpMV,Specialized,256,0.7,263385612,1.0
SpMV,SparseRAJA,256,0.7,537282695,1
SpMV,Specialized,256,0.7,308220208,1.0
SpMV,SparseRAJA,256,0.7,537229735,1
SpMV,Specialized,256,0.7,297085393,1.0
SpMV,SparseRAJA,256,0.7,537238152,1
SpMV,Specialized,256,0.7,263407839,1.0
SpMV,SparseRAJA,256,0.7,537356733,1
SpMV,Specialized,256,0.6,224482565,1.0
SpMV,SparseRAJA,256,0.6,456662538,1
SpMV,Specialized,256,0.7,263422845,1.0
SpMV,SparseRAJA,256,0.7,537192294,1
SpMV,Specialized,256,0.6,260008647,1.0
SpMV,SparseRAJA,256,0.6,456622717,1
SpMV,Specialized,256,0.6,224259040,1.0
SpMV,SparseRAJA,256,0.6,456754037,1
SpMV,Specialized,256,0.6,224427579,1.0
SpMV,SparseRAJA,256,0.6,456709031,1
SpMV,Specialized,256,0.6,224441917,1.0
SpMV,SparseRAJA,256,0.6,456749278,1
GauSei,Specialized,256,0.7,10205632231,1.0
GauSei,SparseRAJA,256,0.7,574712747,1
SpMV,Specialized,256,0.5,219137851,1.0
SpMV,SparseRAJA,256,0.5,375217364,1
SpMV,Specialized,256,0.5,185613027,1.0
SpMV,SparseRAJA,256,0.5,375205258,1
SpMV,Specialized,256,0.5,185599752,1.0
SpMV,SparseRAJA,256,0.5,375341607,1
GauSei,Specialized,256,0.8,11579307708,1.0
GauSei,SparseRAJA,256,0.8,732650062,1
SpMV,Specialized,256,0.5,185563123,1.0
SpMV,SparseRAJA,256,0.5,375168562,1
SpMV,Specialized,256,0.5,185580149,1.0
SpMV,SparseRAJA,256,0.5,375346135,1
GauSei,Specialized,256,0.6,8824271472,1.0
GauSei,SparseRAJA,256,0.6,472664072,1
GauSei,Specialized,256,0.5,7402888736,1.0
GauSei,SparseRAJA,256,0.5,395979494,1
GauSei,Specialized,256,0.4,5904003108,1.0
GauSei,SparseRAJA,256,0.4,332574094,1
GauSei,Specialized,256,1,14398993338,1.0
GauSei,SparseRAJA,256,1,815966482,1
GauSei,Specialized,256,0.9,13026050857,1.0
