Benchmark, Variant, Size, Density, Time, Hit Rate,DIAG
SpMV,Specialized,256,0.8,340963514,1,0
SpMV,SparseRAJA,256,0.8,569674707,1,0
SpMV,Specialized,256,0.9,340319478,1,0
SpMV,SparseRAJA,256,0.9,712002393,1,0
SpMV,Specialized,256,1,437200848,1,0
SpMV,SparseRAJA,256,1,746467615,1,0
SpMV,Specialized,256,0.8,301674933,1,0
SpMV,SparseRAJA,256,0.8,569568605,1,0
SpMV,Specialized,256,0.9,383559257,1,0
SpMV,SparseRAJA,256,0.9,711957624,1,0
SpMV,Specialized,256,0.8,350528084,1,0
SpMV,SparseRAJA,256,0.8,569667565,1,0
SpMV,Specialized,256,1,419962008,1,0
SpMV,SparseRAJA,256,1,746599598,1,0
SpMV,Specialized,256,0.6,224456593,1,0
SpMV,SparseRAJA,256,0.6,470247238,1,0
SpMV,Specialized,256,0.8,349397803,1,0
SpMV,SparseRAJA,256,0.8,569617290,1,0
SpMV,Specialized,256,0.7,263617262,1,0
SpMV,SparseRAJA,256,0.7,553798002,1,0
SpMV,Specialized,256,1,378988921,1,0
SpMV,SparseRAJA,256,1,746530669,1,0
SpMV,Specialized,256,0.6,296429793,1,0
SpMV,SparseRAJA,256,0.6,470286635,1,0
SpMV,Specialized,256,0.7,263403428,1,0
SpMV,SparseRAJA,256,0.7,553993410,1,0
SpMV,Specialized,256,0.8,338893997,1,0
SpMV,SparseRAJA,256,0.8,569571289,1,0
SpMV,Specialized,256,0.4,194776628,1,0
SpMV,SparseRAJA,256,0.4,314909451,1,0
SpMV,Specialized,256,0.5,185595607,1,0
SpMV,SparseRAJA,256,0.5,384602524,1,0
SpMV,Specialized,256,1,420344062,1,0
SpMV,SparseRAJA,256,1,746646900,1,0
SpMV,Specialized,256,0.6,294956972,1,0
SpMV,SparseRAJA,256,0.6,470201649,1,0
SpMV,Specialized,256,0.7,263788521,1,0
SpMV,SparseRAJA,256,0.7,553764889,1,0
SpMV,Specialized,256,0.4,147626160,1,0
SpMV,SparseRAJA,256,0.4,314919805,1,0
SpMV,Specialized,256,0.5,185589951,1,0
