Benchmark, Variant, Size, Density, Time, Hit Rate
SpMV,Dense,256,1,177875049,1.0
SpMV,Dense,256,1,178373309,1.0
SpMV,Dense,256,1,178110595,1.0
SpMV,Dense,256,1,178779619,1.0
SpMV,Dense,256,1,178300804,1.0
GauSei,Dense,256,1,2622517832,1.0
GauSei,Dense,256,1,2614058401,1.0
GauSei,Dense,256,1,2613215396,1.0
GauSei,Dense,256,1,2627943056,1.0
GauSei,Dense,256,1,2623598871,1.0
SpMV,Specialized,256,0.025,2971051,1.0
SpMV,SparseRAJA,256,0.025,19304175,1
SpMV,Specialized,256,0.025,3086797,1.0
SpMV,SparseRAJA,256,0.025,20444033,1
SpMV,Specialized,256,0.075,10393545,1.0
SpMV,SparseRAJA,256,0.075,51729245,1
SpMV,Specialized,256,0.025,3233675,1.0
SpMV,SparseRAJA,256,0.025,20304380,1
SpMV,Specialized,256,0.1,14171075,1.0
SpMV,SparseRAJA,256,0.1,67716006,1
SpMV,Specialized,256,0.2,32144912,1.0
SpMV,SparseRAJA,256,0.2,132541344,1
SpMV,Specialized,256,0.025,3120541,1.0
SpMV,SparseRAJA,256,0.025,20738694,1
SpMV,Specialized,256,0.075,11459434,1.0
SpMV,SparseRAJA,256,0.075,53656024,1
SpMV,Specialized,256,0.025,3313252,1.0
SpMV,SparseRAJA,256,0.025,21073294,1
SpMV,Specialized,256,0.05,6747366,1.0
SpMV,SparseRAJA,256,0.05,34813197,1
SpMV,Specialized,256,0.3,50492840,1.0
SpMV,SparseRAJA,256,0.3,197938802,1
SpMV,Specialized,256,0.1,15872941,1.0
SpMV,SparseRAJA,256,0.1,69325009,1
SpMV,Specialized,256,0.075,11209483,1.0
SpMV,SparseRAJA,256,0.075,53427869,1
SpMV,Specialized,256,0.05,7082895,1.0
SpMV,SparseRAJA,256,0.05,36829354,1
SpMV,Specialized,256,0.4,68876323,1.0
SpMV,SparseRAJA,256,0.4,262332588,1
SpMV,Specialized,256,0.2,33455516,1.0
SpMV,SparseRAJA,256,0.2,132471279,1
SpMV,Specialized,256,0.6,104831684,1.0
SpMV,SparseRAJA,256,0.6,389916973,1
GauSei,Specialized,256,0.025,455006888,1.0
GauSei,SparseRAJA,256,0.025,24085701,1
SpMV,Specialized,256,0.7,123239247,1.0
SpMV,SparseRAJA,256,0.7,454956462,1
SpMV,Specialized,256,0.9,158560102,1.0
SpMV,SparseRAJA,256,0.9,581774564,1
SpMV,Specialized,256,0.8,140295569,1.0
SpMV,SparseRAJA,256,0.8,517420193,1
SpMV,Specialized,256,1,176957686,1.0
SpMV,SparseRAJA,256,1,668273805,1
GauSei,Specialized,256,0.2,4256867988,1.0
GauSei,SparseRAJA,256,0.2,136841510,1
GauSei,Specialized,256,0.3,6985853514,1.0
GauSei,SparseRAJA,256,0.3,203788434,1
GauSei,Specialized,256,0.4,10063475156,1.0
GauSei,SparseRAJA,256,0.4,265370917,1
GauSei,Specialized,256,0.5,11460485254,1.0
GauSei,SparseRAJA,256,0.5,327224785,1
GauSei,Specialized,256,0.6,14078665712,1.0
GauSei,SparseRAJA,256,0.6,392674679,1
GauSei,Specialized,256,0.7,16546181101,1.0
GauSei,SparseRAJA,256,0.7,456734005,1
GauSei,Specialized,256,1,23625740663,1.0
GauSei,SparseRAJA,256,1,660303437,1
SpMV,Specialized,256,0.3,51902404,1.0
SpMV,SparseRAJA,256,0.3,198402615,1
SpMV,Specialized,256,0.1,15519828,1.0
SpMV,SparseRAJA,256,0.1,68060846,1
SpMV,Specialized,256,0.075,11486259,1.0
SpMV,SparseRAJA,256,0.075,53304146,1
SpMV,Specialized,256,0.05,7474382,1.0
SpMV,SparseRAJA,256,0.05,36426000,1
SpMV,Specialized,256,0.4,69911654,1.0
SpMV,SparseRAJA,256,0.4,262342933,1
SpMV,Specialized,256,0.2,33711058,1.0
SpMV,SparseRAJA,256,0.2,132426557,1
SpMV,Specialized,256,0.6,105496469,1.0
SpMV,SparseRAJA,256,0.6,389526310,1
GauSei,Specialized,256,0.025,455935694,1.0
GauSei,SparseRAJA,256,0.025,23977042,1
SpMV,Specialized,256,0.7,126586300,1.0
SpMV,SparseRAJA,256,0.7,466115603,1
SpMV,Specialized,256,0.9,160087962,1.0
SpMV,SparseRAJA,256,0.9,583598064,1
SpMV,Specialized,256,0.8,144185890,1.0
SpMV,SparseRAJA,256,0.8,528404959,1
SpMV,Specialized,256,1,178935192,1.0
SpMV,SparseRAJA,256,1,667198026,1
GauSei,Specialized,256,0.2,4175215935,1.0
GauSei,SparseRAJA,256,0.2,136694868,1
GauSei,Specialized,256,0.3,7145553743,1.0
GauSei,SparseRAJA,256,0.3,203750726,1
GauSei,Specialized,256,0.4,10127216401,1.0
GauSei,SparseRAJA,256,0.4,265164608,1
GauSei,Specialized,256,0.5,12454245012,1.0
GauSei,SparseRAJA,256,0.5,327799483,1
