Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
SpMV,Specialized,256,0.9,158292819,1,0
SpMV,SparseRAJA,256,0.9,581607798,1,0
SpMV,Specialized,256,1,177330024,1,0
SpMV,SparseRAJA,256,1,659355385,1,0
SpMV,Specialized,256,0.9,159453256,1,0
SpMV,SparseRAJA,256,0.9,581885651,1,0
SpMV,Specialized,256,1,178785842,1,0
SpMV,SparseRAJA,256,1,660735836,1,0
SpMV,Specialized,256,0.9,159650592,1,0
SpMV,SparseRAJA,256,0.9,582188441,1,0
SpMV,Specialized,256,1,180212355,1,0
SpMV,SparseRAJA,256,1,669652801,1,0
SpMV,Specialized,256,0.9,161491202,1,0
SpMV,SparseRAJA,256,0.9,587179277,1,0
SpMV,Specialized,256,1,180675964,1,0
SpMV,SparseRAJA,256,1,671213235,1,0
SpMV,Specialized,256,0.9,159192972,1,0
SpMV,SparseRAJA,256,0.9,581419476,1,0
SpMV,Specialized,256,1,180418116,1,0
SpMV,SparseRAJA,256,1,670510195,1,0
SpMV,Specialized,256,0.8,140686927,1,0
SpMV,SparseRAJA,256,0.8,516949957,1,0
SpMV,Specialized,256,0.8,141881525,1,0
SpMV,SparseRAJA,256,0.8,517040007,1,0
SpMV,Specialized,256,0.8,144054441,1,0
SpMV,SparseRAJA,256,0.8,527103409,1,0
SpMV,Specialized,256,0.8,143578883,1,0
SpMV,SparseRAJA,256,0.8,526081422,1,0
SpMV,Specialized,256,0.8,143010658,1,0
SpMV,SparseRAJA,256,0.8,520715058,1,0
SpMV,Specialized,256,0.7,123343485,1,0
SpMV,SparseRAJA,256,0.7,454048198,1,0
SpMV,Specialized,256,0.7,125644978,1,0
SpMV,SparseRAJA,256,0.7,463396075,1,0
SpMV,Specialized,256,0.7,123949860,1,0
SpMV,SparseRAJA,256,0.7,454042580,1,0
SpMV,Specialized,256,0.7,123254690,1,0
SpMV,SparseRAJA,256,0.7,454016268,1,0
SpMV,Specialized,256,0.6,105494118,1,0
SpMV,SparseRAJA,256,0.6,389429088,1,0
SpMV,Specialized,256,0.5,86791509,1,0
SpMV,SparseRAJA,256,0.5,330579285,1,0
SpMV,Specialized,256,0.7,125458505,1,0
SpMV,SparseRAJA,256,0.7,462462643,1,0
SpMV,Specialized,256,0.5,89738649,1,0
SpMV,SparseRAJA,256,0.5,336394343,1,0
SpMV,Specialized,256,0.6,107954561,1,0
SpMV,SparseRAJA,256,0.6,393342291,1,0
SpMV,Specialized,256,0.5,87837014,1,0
SpMV,SparseRAJA,256,0.5,329612016,1,0
SpMV,Specialized,256,0.6,106093431,1,0
SpMV,SparseRAJA,256,0.6,389407046,1,0
SpMV,Specialized,256,0.5,89202644,1,0
SpMV,SparseRAJA,256,0.5,335418060,1,0
SpMV,Specialized,256,0.6,105758366,1,0
SpMV,SparseRAJA,256,0.6,389335626,1,0
SpMV,Specialized,256,0.5,89660666,1,0
SpMV,SparseRAJA,256,0.5,335875477,1,0
SpMV,Specialized,256,0.6,107866182,1,0
SpMV,SparseRAJA,256,0.6,395671369,1,0
SpMV,Specialized,256,0.4,68877241,1,0
SpMV,SparseRAJA,256,0.4,266479497,1,0
SpMV,Specialized,256,0.4,71752517,1,0
SpMV,SparseRAJA,256,0.4,271517563,1,0
SpMV,Specialized,256,0.4,70276106,1,0
SpMV,SparseRAJA,256,0.4,266181120,1,0
SpMV,Specialized,256,0.4,71336543,1,0
SpMV,SparseRAJA,256,0.4,271426013,1,0
SpMV,Specialized,256,0.4,71890503,1,0
SpMV,SparseRAJA,256,0.4,271241039,1,0
SpMV,Specialized,256,0.3,50824368,1,0
SpMV,SparseRAJA,256,0.3,198012259,1,0
SpMV,Specialized,256,0.3,53271951,1,0
SpMV,SparseRAJA,256,0.3,201160980,1,0
SpMV,Specialized,256,0.3,54000897,1,0
SpMV,SparseRAJA,256,0.3,199961928,1,0
SpMV,Specialized,256,0.3,54027329,1,0
SpMV,SparseRAJA,256,0.3,200609856,1,0
SpMV,Specialized,256,0.3,53740220,1,0
SpMV,SparseRAJA,256,0.3,200369472,1,0
SpMV,Specialized,256,0.2,32628036,1,0
SpMV,SparseRAJA,256,0.2,132473116,1,0
SpMV,Specialized,256,0.2,33678782,1,0
SpMV,SparseRAJA,256,0.2,132256158,1,0
SpMV,Specialized,256,0.2,35625035,1,0
SpMV,SparseRAJA,256,0.2,134422256,1,0
SpMV,Specialized,256,0.2,34638136,1,0
SpMV,SparseRAJA,256,0.2,131933392,1,0
SpMV,Specialized,256,0.2,35737238,1,0
SpMV,SparseRAJA,256,0.2,133520633,1,0
SpMV,Specialized,256,0.1,14581712,1,0
SpMV,SparseRAJA,256,0.1,68020877,1,0
SpMV,Specialized,256,0.1,16190878,1,0
SpMV,SparseRAJA,256,0.1,69526360,1,0
SpMV,Specialized,256,0.1,15893886,1,0
SpMV,SparseRAJA,256,0.1,68922908,1,0
SpMV,Specialized,256,0.1,15467404,1,0
SpMV,SparseRAJA,256,0.1,68964982,1,0
SpMV,Specialized,256,0.1,15443225,1,0
SpMV,SparseRAJA,256,0.1,67924827,1,0
GauSei,Specialized,256,0.1,20222831,1,1
GauSei,SparseRAJA,256,0.1,71998841,1,1
GauSei,Specialized,256,0.1,1654106861,0.00389108,0
GauSei,SparseRAJA,256,0.1,5383704438,0.891123,0
GauSei,Specialized,256,0.075,14929578,1,1
GauSei,SparseRAJA,256,0.075,56230274,1,1
GauSei,Specialized,256,0.075,1255093855,0.00389108,0
GauSei,SparseRAJA,256,0.075,3370915322,0.859432,0
GauSei,Specialized,256,0.2,38858348,1,1
GauSei,SparseRAJA,256,0.2,134966559,1,1
GauSei,Specialized,256,0.2,4381637238,0.00389108,0
GauSei,SparseRAJA,256,0.2,13694132683,0.943668,0
GauSei,Specialized,256,0.1,21640773,1,1
GauSei,SparseRAJA,256,0.1,72049122,1,1
GauSei,Specialized,256,0.1,1660944908,0.00389108,0
GauSei,SparseRAJA,256,0.1,5253081676,0.891123,0
GauSei,Specialized,256,0.075,15495584,1,1
GauSei,SparseRAJA,256,0.075,56992594,1,1
GauSei,Specialized,256,0.075,1252459809,0.00389108,0
GauSei,SparseRAJA,256,0.075,3458219535,0.859432,0
GauSei,Specialized,256,0.3,57528753,1,1
GauSei,SparseRAJA,256,0.3,198797261,1,1
GauSei,Specialized,256,0.3,7131699015,0.00389108,0
GauSei,SparseRAJA,256,0.3,20831387125,0.961797,0
GauSei,Specialized,256,0.075,16272564,1,1
GauSei,SparseRAJA,256,0.075,58332583,1,1
GauSei,Specialized,256,0.075,1288414268,0.00389108,0
GauSei,SparseRAJA,256,0.075,3462080373,0.859432,0
GauSei,Specialized,256,0.1,22499912,1,1
GauSei,SparseRAJA,256,0.1,73260336,1,1
GauSei,Specialized,256,0.1,1740280329,0.00389108,0
GauSei,SparseRAJA,256,0.1,5257587639,0.891123,0
GauSei,Specialized,256,0.4,76455734,1,1
GauSei,SparseRAJA,256,0.4,262231797,1,1
GauSei,Specialized,256,0.4,9219706477,0.00389108,0
GauSei,SparseRAJA,256,0.4,27536507646,0.971007,0
GauSei,Specialized,256,0.075,16178512,1,1
GauSei,SparseRAJA,256,0.075,57236937,1,1
GauSei,Specialized,256,0.075,1275730209,0.00389108,0
GauSei,SparseRAJA,256,0.075,3479567716,0.859432,0
GauSei,Specialized,256,0.1,22045436,1,1
GauSei,SparseRAJA,256,0.1,72315297,1,1
GauSei,Specialized,256,0.1,1679283222,0.00389108,0
GauSei,SparseRAJA,256,0.1,5210928500,0.891123,0
GauSei,Specialized,256,0.2,40057044,1,1
GauSei,SparseRAJA,256,0.2,134830276,1,1
GauSei,Specialized,256,0.2,4267809221,0.00389108,0
GauSei,SparseRAJA,256,0.2,12841530816,0.943668,0
GauSei,Specialized,256,0.075,16118381,1,1
GauSei,SparseRAJA,256,0.075,58231726,1,1
GauSei,Specialized,256,0.075,1238915286,0.00389108,0
GauSei,SparseRAJA,256,0.075,3358985172,0.859432,0
GauSei,Specialized,256,0.5,96784223,1,1
GauSei,SparseRAJA,256,0.5,332880918,1,1
GauSei,Specialized,256,0.5,11894294722,0.00389108,0
GauSei,SparseRAJA,256,0.5,34914162768,0.976763,0
SpMV,Specialized,256,0.075,10473629,1,0
SpMV,SparseRAJA,256,0.075,51592455,1,0
SpMV,Specialized,256,0.075,10948563,1,0
SpMV,SparseRAJA,256,0.075,52471970,1,0
SpMV,Specialized,256,0.075,11470074,1,0
SpMV,SparseRAJA,256,0.075,52709274,1,0
SpMV,Specialized,256,0.075,11399704,1,0
SpMV,SparseRAJA,256,0.075,52737554,1,0
SpMV,Specialized,256,0.075,11130250,1,0
SpMV,SparseRAJA,256,0.075,52301562,1,0
GauSei,Specialized,256,0.1,21752045,1,1
GauSei,SparseRAJA,256,0.1,72590696,1,1
GauSei,Specialized,256,0.1,1681411716,0.00389108,0
GauSei,SparseRAJA,256,0.1,5321398006,0.891123,0
SpMV,Specialized,256,0.05,6676427,1,0
SpMV,SparseRAJA,256,0.05,34763898,1,0
SpMV,Specialized,256,0.05,7194853,1,0
SpMV,SparseRAJA,256,0.05,36011743,1,0
SpMV,Specialized,256,0.05,7337365,1,0
SpMV,SparseRAJA,256,0.05,36474326,1,0
SpMV,Specialized,256,0.05,7403994,1,0
SpMV,SparseRAJA,256,0.05,36858829,1,0
SpMV,Specialized,256,0.05,7380578,1,0
SpMV,SparseRAJA,256,0.05,36210810,1,0
GauSei,Specialized,256,0.05,9959116,1,1
GauSei,SparseRAJA,256,0.05,40497427,1,1
GauSei,Specialized,256,0.05,863544365,0.00389108,0
GauSei,SparseRAJA,256,0.05,2396360106,0.801249,0
GauSei,Specialized,256,0.025,5648440,1,1
GauSei,SparseRAJA,256,0.025,24109683,1,1
GauSei,Specialized,256,0.025,477936005,0.00778216,0
GauSei,SparseRAJA,256,0.025,980816373,0.683987,0
SpMV,Specialized,256,0.025,2958624,1,0
SpMV,SparseRAJA,256,0.025,19267088,1,0
SpMV,Specialized,256,0.025,3300511,1,0
SpMV,SparseRAJA,256,0.025,21156177,1,0
SpMV,Specialized,256,0.025,3149527,1,0
SpMV,SparseRAJA,256,0.025,21272517,1,0
SpMV,Specialized,256,0.025,3437517,1,0
SpMV,SparseRAJA,256,0.025,21526599,1,0
SpMV,Specialized,256,0.025,3316357,1,0
SpMV,SparseRAJA,256,0.025,21246246,1,0
GauSei,Specialized,256,0.01,2825270,1,1
GauSei,SparseRAJA,256,0.01,13703580,1,1
GauSei,Specialized,256,0.01,162943716,0.0778216,0
GauSei,SparseRAJA,256,0.01,276557800,0.547437,0
GauSei,Specialized,256,0.025,5756207,1,1
GauSei,SparseRAJA,256,0.025,25966376,1,1
GauSei,Specialized,256,0.025,480680148,0.00778216,0
GauSei,SparseRAJA,256,0.025,977454470,0.683987,0
GauSei,Specialized,256,0.01,3112279,1,1
GauSei,SparseRAJA,256,0.01,14559613,1,1
GauSei,Specialized,256,0.01,161795956,0.0778216,0
GauSei,SparseRAJA,256,0.01,276477420,0.547437,0
GauSei,Specialized,256,0.01,3031598,1,1
GauSei,SparseRAJA,256,0.01,14700800,1,1
GauSei,Specialized,256,0.01,167204052,0.0778216,0
GauSei,SparseRAJA,256,0.01,277302240,0.547437,0
GauSei,Specialized,256,0.6,111666616,1,1
GauSei,SparseRAJA,256,0.6,385700050,1,1
GauSei,Specialized,256,0.6,15216208719,0.00389108,0
GauSei,SparseRAJA,256,0.6,44302744698,0.980881,0
GauSei,Specialized,256,0.01,2988331,1,1
GauSei,SparseRAJA,256,0.01,14553020,1,1
GauSei,Specialized,256,0.01,162922578,0.0778216,0
GauSei,SparseRAJA,256,0.01,276681352,0.547437,0
GauSei,Specialized,256,0.025,5867977,1,1
GauSei,SparseRAJA,256,0.025,26494128,1,1
GauSei,Specialized,256,0.025,483855653,0.00778216,0
GauSei,SparseRAJA,256,0.025,979623743,0.683987,0
GauSei,Specialized,256,0.05,10785922,1,1
GauSei,SparseRAJA,256,0.05,42072001,1,1
GauSei,Specialized,256,0.05,891315577,0.00389108,0
GauSei,SparseRAJA,256,0.05,2382654023,0.801249,0
GauSei,Specialized,256,0.01,3082599,1,1
GauSei,SparseRAJA,256,0.01,14785415,1,1
GauSei,Specialized,256,0.01,162141768,0.0778216,0
GauSei,SparseRAJA,256,0.01,276864939,0.547437,0
GauSei,Specialized,256,0.025,5758397,1,1
GauSei,SparseRAJA,256,0.025,25862953,1,1
GauSei,Specialized,256,0.025,477694907,0.00778216,0
GauSei,SparseRAJA,256,0.025,983079070,0.683987,0
GauSei,Specialized,256,0.7,130639608,1,1
GauSei,SparseRAJA,256,0.7,448749478,1,1
GauSei,Specialized,256,0.7,16250577904,0.00389108,0
GauSei,SparseRAJA,256,0.7,47894536876,0.983457,0
SpMV,Specialized,256,0.01,1200974,1,0
SpMV,SparseRAJA,256,0.01,9696363,1,0
SpMV,Specialized,256,0.01,1193785,1,0
SpMV,SparseRAJA,256,0.01,10335273,1,0
SpMV,Specialized,256,0.01,1243755,1,0
SpMV,SparseRAJA,256,0.01,10445190,1,0
SpMV,Specialized,256,0.01,1191103,1,0
SpMV,SparseRAJA,256,0.01,10301752,1,0
SpMV,Specialized,256,0.01,1215107,1,0
SpMV,SparseRAJA,256,0.01,10494781,1,0
GauSei,Specialized,256,0.025,5643074,1,1
GauSei,SparseRAJA,256,0.025,25752922,1,1
GauSei,Specialized,256,0.025,478181436,0.00778216,0
GauSei,SparseRAJA,256,0.025,981413026,0.683987,0
GauSei,Specialized,256,0.05,10971031,1,1
GauSei,SparseRAJA,256,0.05,42499426,1,1
GauSei,Specialized,256,0.05,894976693,0.00389108,0
