Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,256,0.01,264852324,1.0
GauSei,SparseRAJA,256,0.01,452501648,0.543454
GauSei,Specialized,256,0.01,264857489,1.0
GauSei,SparseRAJA,256,0.01,451115610,0.543454
GauSei,Specialized,256,0.01,264849996,1.0
GauSei,SparseRAJA,256,0.01,451364057,0.543454
GauSei,Specialized,256,0.025,480588940,1.0
GauSei,SparseRAJA,256,0.025,1074380191,0.682418
GauSei,Specialized,256,0.01,264954187,1.0
GauSei,SparseRAJA,256,0.01,451052999,0.543454
GauSei,Specialized,256,0.075,1164734954,1.0
GauSei,SparseRAJA,256,0.075,3339455763,0.858522
GauSei,Specialized,256,0.01,265064063,1.0
GauSei,SparseRAJA,256,0.01,451643620,0.543454
GauSei,Specialized,256,0.05,823415260,1.0
GauSei,SparseRAJA,256,0.05,2226425077,0.800233
GauSei,Specialized,256,0.025,480655220,1.0
GauSei,SparseRAJA,256,0.025,1076658311,0.682418
GauSei,Specialized,256,0.1,1523354622,1.0
GauSei,SparseRAJA,256,0.1,4286623112,0.89244
GauSei,Specialized,256,0.025,480543490,1.0
GauSei,SparseRAJA,256,0.025,1076414615,0.682418
GauSei,Specialized,256,0.05,823566730,1.0
GauSei,SparseRAJA,256,0.05,2224924475,0.800233
GauSei,Specialized,256,0.025,480707970,1.0
GauSei,SparseRAJA,256,0.025,1075977136,0.682418
GauSei,Specialized,256,0.075,1164638263,1.0
GauSei,SparseRAJA,256,0.075,3338452119,0.858522
GauSei,Specialized,256,0.025,480601141,1.0
GauSei,SparseRAJA,256,0.025,1074927979,0.682418
GauSei,Specialized,256,0.2,2908087102,1.0
GauSei,SparseRAJA,256,0.2,8799320820,0.943074
GauSei,Specialized,256,0.05,823419753,1.0
GauSei,SparseRAJA,256,0.05,2224449075,0.800233
GauSei,Specialized,256,0.1,1523454578,1.0
GauSei,SparseRAJA,256,0.1,4287438923,0.89244
GauSei,Specialized,256,0.075,1164576277,1.0
GauSei,SparseRAJA,256,0.075,3338292860,0.858522
GauSei,Specialized,256,0.05,823439759,1.0
GauSei,SparseRAJA,256,0.05,2224552286,0.800233
GauSei,Specialized,256,0.3,4509688471,1.0
GauSei,SparseRAJA,256,0.3,13045745699,0.962012
GauSei,Specialized,256,0.05,823490847,1.0
GauSei,SparseRAJA,256,0.05,2223045068,0.800233
GauSei,Specialized,256,0.075,1164796304,1.0
GauSei,SparseRAJA,256,0.075,3341260705,0.858522
GauSei,Specialized,256,0.075,1164606066,1.0
GauSei,SparseRAJA,256,0.075,3337918169,0.858522
GauSei,Specialized,256,0.2,2908209555,1.0
GauSei,SparseRAJA,256,0.2,8800128115,0.943074
GauSei,Specialized,256,0.4,5943652068,1.0
GauSei,SparseRAJA,256,0.4,17387407321,0.971449
GauSei,Specialized,256,0.1,1523504023,1.0
GauSei,SparseRAJA,256,0.1,4287885703,0.89244
GauSei,Specialized,256,0.5,7257713530,1.0
GauSei,SparseRAJA,256,0.5,21798965210,0.976793
GauSei,Specialized,256,0.1,1523449874,1.0
GauSei,SparseRAJA,256,0.1,4289687461,0.89244
GauSei,Specialized,256,0.6,8655335789,1.0
GauSei,SparseRAJA,256,0.6,25996013245,0.980607
GauSei,Specialized,256,0.2,2908798853,1.0
GauSei,SparseRAJA,256,0.2,8799810822,0.943074
GauSei,Specialized,256,0.3,4509349268,1.0
GauSei,SparseRAJA,256,0.3,13044126820,0.962012
GauSei,Specialized,256,0.7,10206598776,1.0
GauSei,SparseRAJA,256,0.7,30328865877,0.98337
GauSei,Specialized,256,0.8,11566757872,1.0
GauSei,SparseRAJA,256,0.8,34423689138,0.985417
GauSei,Specialized,256,0.2,2908921863,1.0
GauSei,SparseRAJA,256,0.2,8801061950,0.943074
GauSei,Specialized,256,0.4,5944820548,1.0
GauSei,SparseRAJA,256,0.4,17384447461,0.971449
GauSei,Specialized,256,0.9,13011569947,1.0
GauSei,SparseRAJA,256,0.9,38031039807,0.987074
GauSei,Specialized,256,0.3,4508839146,1.0
GauSei,SparseRAJA,256,0.3,13043998846,0.962012
GauSei,Specialized,256,1,14394428809,1.0
GauSei,SparseRAJA,256,1,42950408424,0.988327
GauSei,Specialized,256,0.2,2908856000,1.0
GauSei,SparseRAJA,256,0.2,8800267851,0.943074
GauSei,Specialized,256,0.5,7254430605,1.0
GauSei,SparseRAJA,256,0.5,21799556503,0.976793
GauSei,Specialized,256,0.6,8654920396,1.0
GauSei,SparseRAJA,256,0.6,26042150242,0.980607
GauSei,Specialized,256,0.3,4507380926,1.0
GauSei,SparseRAJA,256,0.3,13043756321,0.962012
GauSei,Specialized,256,0.4,5944720792,1.0
GauSei,SparseRAJA,256,0.4,17389837069,0.971449
GauSei,Specialized,256,0.7,10201354468,1.0
GauSei,SparseRAJA,256,0.7,30321860282,0.98337
GauSei,Specialized,256,0.3,4508866489,1.0
GauSei,SparseRAJA,256,0.3,13045443898,0.962012
GauSei,Specialized,256,0.5,7257679223,1.0
GauSei,SparseRAJA,256,0.5,21799699235,0.976793
GauSei,Specialized,256,0.8,11571714165,1.0
GauSei,SparseRAJA,256,0.8,34426413641,0.985417
GauSei,Specialized,256,0.4,5944119381,1.0
GauSei,SparseRAJA,256,0.4,17386363517,0.971449
GauSei,Specialized,256,0.9,13011208764,1.0
GauSei,SparseRAJA,256,0.9,38018057499,0.987074
GauSei,Specialized,256,0.6,8652147168,1.0
GauSei,SparseRAJA,256,0.6,26010968590,0.980607
GauSei,Specialized,256,1,14388843397,1.0
GauSei,SparseRAJA,256,1,42952039063,0.988327
GauSei,Specialized,256,0.4,5944546622,1.0
GauSei,SparseRAJA,256,0.4,17389717276,0.971449
GauSei,Specialized,256,0.5,7256831580,1.0
GauSei,SparseRAJA,256,0.5,21795958265,0.976793
GauSei,Specialized,256,0.7,10208670469,1.0
GauSei,SparseRAJA,256,0.7,30321782508,0.98337
GauSei,Specialized,256,0.6,8657507056,1.0
GauSei,SparseRAJA,256,0.6,26028339341,0.980607
GauSei,Specialized,256,0.8,11580733198,1.0
GauSei,SparseRAJA,256,0.8,34428491476,0.985417
GauSei,Specialized,256,0.5,7256390682,1.0
GauSei,SparseRAJA,256,0.5,21800859981,0.976793
GauSei,Specialized,256,0.9,13012385818,1.0
GauSei,SparseRAJA,256,0.9,38034051232,0.987074
GauSei,Specialized,256,0.7,10205632828,1.0
GauSei,SparseRAJA,256,0.7,30324027977,0.98337
GauSei,Specialized,256,0.6,8654366491,1.0
GauSei,SparseRAJA,256,0.6,26017399157,0.980607
GauSei,Specialized,256,1,14389151461,1.0
GauSei,SparseRAJA,256,1,42939919857,0.988327
GauSei,Specialized,256,0.8,11573227896,1.0
GauSei,SparseRAJA,256,0.8,34423913620,0.985417
GauSei,Specialized,256,0.7,10208329062,1.0
GauSei,SparseRAJA,256,0.7,30322171898,0.98337
GauSei,Specialized,256,0.9,13012540388,1.0
GauSei,SparseRAJA,256,0.9,38019784909,0.987074
GauSei,Specialized,256,0.8,11578304889,1.0
GauSei,SparseRAJA,256,0.8,34457596580,0.985417
GauSei,Specialized,256,1,14388904971,1.0
GauSei,SparseRAJA,256,1,42938835922,0.988327
GauSei,Specialized,256,0.9,13007447272,1.0
GauSei,SparseRAJA,256,0.9,38022044565,0.987074
GauSei,Specialized,256,1,14391437625,1.0
GauSei,SparseRAJA,256,1,42935821712,0.988327
