Benchmark, Variant, Size, Density, Time
SpMV,Dense,64,0.5,8148035
SpMV,Specialized,64,0.5,2033444
SpMV,SparseRAJA,64,0.5,20069170
SpMV,Dense,64,0.5,8148628
SpMV,Specialized,64,0.5,2026036
SpMV,SparseRAJA,64,0.5,20075418
SpMV,Dense,64,0.5,8149244
SpMV,Specialized,64,0.5,2026291
SpMV,SparseRAJA,64,0.5,20087142
SpMV,Dense,64,0.5,8145744
SpMV,Specialized,64,0.5,2029267
SpMV,SparseRAJA,64,0.5,20097624
SpMV,Dense,64,0.5,8146767
SpMV,Specialized,64,0.5,2029021
SpMV,SparseRAJA,64,0.5,20133958
SpMV,Dense,64,0.1,8149273
SpMV,Specialized,64,0.1,401189
SpMV,SparseRAJA,64,0.1,3955802
SpMV,Dense,64,0.1,8148187
SpMV,Specialized,64,0.1,401456
SpMV,SparseRAJA,64,0.1,3961341
SpMV,Dense,64,0.1,8147027
SpMV,Specialized,64,0.1,399834
SpMV,SparseRAJA,64,0.1,3952613
SpMV,Dense,64,0.1,8145691
SpMV,Specialized,64,0.1,400515
SpMV,SparseRAJA,64,0.1,3984393
SpMV,Dense,64,0.1,8148705
SpMV,Specialized,64,0.1,401557
SpMV,SparseRAJA,64,0.1,3965153
SpMV,Dense,64,0.01,8150300
SpMV,Specialized,64,0.01,44547
SpMV,SparseRAJA,64,0.01,399766
SpMV,Dense,64,0.01,8148648
SpMV,Specialized,64,0.01,44229
SpMV,SparseRAJA,64,0.01,399360
SpMV,Dense,64,0.01,8149153
SpMV,Specialized,64,0.01,44469
SpMV,SparseRAJA,64,0.01,400891
SpMV,Dense,64,0.01,8141425
SpMV,Specialized,64,0.01,44159
SpMV,SparseRAJA,64,0.01,401262
SpMV,Dense,64,0.01,8147564
SpMV,Specialized,64,0.01,44219
SpMV,SparseRAJA,64,0.01,402104
SpMV,Dense,64,0.001,8145875
SpMV,Specialized,64,0.001,8396
SpMV,SparseRAJA,64,0.001,49786
SpMV,Dense,64,0.001,8145461
SpMV,Specialized,64,0.001,8406
SpMV,SparseRAJA,64,0.001,49356
SpMV,Dense,64,0.001,8145386
SpMV,Specialized,64,0.001,8220
SpMV,SparseRAJA,64,0.001,49342
SpMV,Dense,64,0.001,8148083
SpMV,Specialized,64,0.001,8424
SpMV,SparseRAJA,64,0.001,48971
SpMV,Dense,64,0.001,8146156
SpMV,Specialized,64,0.001,8386
SpMV,SparseRAJA,64,0.001,50018
SpMV,Dense,128,0.5,32396079
SpMV,Specialized,128,0.5,8226851
SpMV,SparseRAJA,128,0.5,81631460
SpMV,Dense,128,0.5,32393593
SpMV,Specialized,128,0.5,8235314
SpMV,SparseRAJA,128,0.5,81692664
SpMV,Dense,128,0.5,32390535
SpMV,Specialized,128,0.5,8230639
SpMV,SparseRAJA,128,0.5,81521685
SpMV,Dense,128,0.5,32395493
SpMV,Specialized,128,0.5,8237289
SpMV,SparseRAJA,128,0.5,81680748
SpMV,Dense,128,0.5,32397997
SpMV,Specialized,128,0.5,8237411
SpMV,SparseRAJA,128,0.5,81587616
SpMV,Dense,128,0.1,32382927
SpMV,Specialized,128,0.1,1644197
SpMV,SparseRAJA,128,0.1,16188037
SpMV,Dense,128,0.1,32377851
SpMV,Specialized,128,0.1,1640561
SpMV,SparseRAJA,128,0.1,16189570
SpMV,Dense,128,0.1,32377691
SpMV,Specialized,128,0.1,1638286
SpMV,SparseRAJA,128,0.1,16205671
SpMV,Dense,128,0.1,32374782
SpMV,Specialized,128,0.1,1643096
SpMV,SparseRAJA,128,0.1,16185209
SpMV,Dense,128,0.1,32375727
SpMV,Specialized,128,0.1,1638044
SpMV,SparseRAJA,128,0.1,16215037
SpMV,Dense,128,0.01,32378840
SpMV,Specialized,128,0.01,166358
SpMV,SparseRAJA,128,0.01,1609707
SpMV,Dense,128,0.01,32376381
SpMV,Specialized,128,0.01,169701
SpMV,SparseRAJA,128,0.01,1613890
SpMV,Dense,128,0.01,32375527
SpMV,Specialized,128,0.01,166100
SpMV,SparseRAJA,128,0.01,1613424
SpMV,Dense,128,0.01,32381471
SpMV,Specialized,128,0.01,166489
SpMV,SparseRAJA,128,0.01,1612802
SpMV,Dense,128,0.01,32384814
SpMV,Specialized,128,0.01,166696
SpMV,SparseRAJA,128,0.01,1611064
SpMV,Dense,128,0.001,32390995
SpMV,Specialized,128,0.001,20384
SpMV,SparseRAJA,128,0.001,168366
SpMV,Dense,128,0.001,32391155
SpMV,Specialized,128,0.001,20425
SpMV,SparseRAJA,128,0.001,168106
SpMV,Dense,128,0.001,32391186
SpMV,Specialized,128,0.001,20282
SpMV,SparseRAJA,128,0.001,168408
SpMV,Dense,128,0.001,32397333
SpMV,Specialized,128,0.001,20417
SpMV,SparseRAJA,128,0.001,168944
SpMV,Dense,128,0.001,32387905
SpMV,Specialized,128,0.001,20618
SpMV,SparseRAJA,128,0.001,169897
SpMV,Dense,192,0.5,72736905
SpMV,Specialized,192,0.5,18394095
SpMV,SparseRAJA,192,0.5,180745661
SpMV,Dense,192,0.5,72741848
SpMV,Specialized,192,0.5,18386460
SpMV,SparseRAJA,192,0.5,180893352
SpMV,Dense,192,0.5,73198884
SpMV,Specialized,192,0.5,18392774
SpMV,SparseRAJA,192,0.5,180765586
SpMV,Dense,192,0.5,72733575
SpMV,Specialized,192,0.5,18403869
